Module Name,Programme,Semester,Year,ID,Case study,Case Study de,Assignment,Communication,Competence Area,Content,Content Type,Coordinator,Description,Discussion,ECTS,Follow up module,Group work,Groupwork,ID Year,Individual work,Interactive instruction,Judgement,Knowledge,Language of instruction,Lecture,Level,Module Coordinator,Module Type,Online Tutorial,Oral exam,Other,Presentation,Project,Recommended Reading,Review of literature,Semester 1,Seminar,Simulation,Title,Written,Item Type
Information Management,BSc. Business Administration |,Autumn,2022,472,Case study,,,   ?- Use the correct technical vocabulary for oral and written statements (Objectives 3.1 & 3.2) - State evidence-based opinions in open discussions  ,,   ?- Introduction to Information Management and digitalization - Technology fundamentals (hardware  software  networks) - Databases and database management - Business processes - Business applications - Evaluation of standard software - Managerial tasks in information technology management  ,Item,,   Digital change has become a major driver in society and the economy. In a digitized  networked world  the amount of data and information keeps on increasing  continuously creating opportunities and challenges for companies. Data and information are critical sources for companies and  if used effectively  can give a competitive edge. As a result  information management has become a strategic concern for companies. Information management and information systems must be designed in such a way that corporate decisions based on information lead to success.    This module exposes students to both theory and practice of information management. Moreover  the effects of the digital change on society and the economy will be addressed.  ,Discussion,5,   ?Business Processes & Project Management  ,Group work,Group work,472_Autumn_2022,Individual work,,   ?- Assess the value of data and information - Reflect the effects (opportunities and risks) of digital changes in society as well as in different industries and businesses - Address the issues in selecting  developing and managing information systems  ,   ?- Explain and classify the concepts of information management - Understand the interdependencies between ICT and business - Describe the technical basics of information systems (hardware  software  and communication networks) as well as the fundamentals of their functionality - Explain the difference between data  information and knowledge - Describe the structure of databases and the requirements of operational data management - Classify the different types of application systems and describe them using examples - Differentiate the strategic and operational tasks in ICT management from the business perspective  ,English,Lecture,Basic,Safak Korkut|#752|#Dino Sommer|#1952,Mandatory,,,,,,Mallach  E. G. (2015). Information systems: what every business student needs to know. Boca Raton (FL): CRC Press (Relevant pages are provided)  Other sources ?will be provided during the semester    ,,Spring,Seminar,,Module Description,written exam,Item
Focus: Technology  Organizations and People: A Value-Sensitive Perspective,BSc. Business Administration |BSc. Betriebsökonomie |BSc. Wirtschaftsinformatik |,Spring,2020,802,Case study,,,  - Graduates are able to write a scientifically founded written report on a technology integration case (Objective 3.1) - Graduates are able to orally inform a target group on technological and business-related aspects (Objective 3.2)  ,focus module (busness elective),   This focus module gives an overview of theories on the relationship of technology  organizations and people and introduces case studies of selected Swiss tech companies that attempt to implement innovative technological solutions to business challenges. In this course  the students will learn through a combination of theoretical input  case studies and workshops. ,Item,,In the era of digital transformation  technologies are evolving at an ever-increasing pace  thereby affecting organizations  businesses and society in general. The mode of interaction that people have with technologies in all areas of life is not always obvious  and neither is the impact that digital transformation has on organizations. However  technology integration in organizations often lacks a focus on human principles. From the perspective of considering technology as a tool to assist humans in achieving their goals  technology needs to generate added value for all stakeholders in order to contribute to business success. Therefore   technology designers  organizations of all kinds  especially businesses  have to consider human factors  such as values  attitudes  and culture  when integrating technologies into their work processes or building business models around new technologies. In this module  students will acquire foundational knowledge on the interdependency of technology  organization and people and will reflect that knowledge through working on challenges of Swiss StartUps presented in case studies. At the end of this module  the students have a fundamental understanding of the effects and potentials of technology integration in different organizations with regards to human factors. Additionally  they are able to identify business challenges concerning technology integration in business models and derive related solution proposals.  ,Discussion,5,,Group work,Group work,802_Spring_2020,,,  - Graduates can evaluate the effects and potentials (e.g. opportunities and risks) of technology integration in different organizations (Objective 2.1) - Graduates can evaluate critically value and impact of new technologies in real business cases (Objective 2.1)  ,  - Graduates understand the relationship of technology  organizations and people (Goal 1)         - Graduates can outline the relationship between organizations  people and technologies (Objective 1.1) - Graduates can explain theoretical models and frameworks on technology integration (Objective 1.1)  ,English,Lecture,Intermediate,Safak Korkut|#752|#Janine Jäger|#1562,Elective,,,Other,presentation,,,,,Seminar,Simulation,Module Description,written exam,Item
Integration Module,BSc. Business Administration |,Spring,2022,844,Case study,,Assignment,?Students are able to formulate their oral and written contributions in a precise and qualified manner geared to the respective target group. (Obj. 3.1) ,Integrate and implement,?Dealing with relevant topics and tasks for successful corporate management  such as corporate strategy  marketing  leadership  financial management  digitalization  etc.  ,Item,,?In the last semester  the integration module will focus on the analysis of business-related problems and the development of appropriate solutions at the enterprise level using concrete case studies and simulations. The knowledge acquired in the business management modules has to be applied in an entrepreneurial overall context. An essential goal of this module is to point out decision interdependencies in the worked out solution approaches  and to consider these in a balanced way when finding solutions. ,Discussion,5,?None ,Group work,Group work,844_Spring_2022,Individual work,Interactive instruction,     Students can solve internal and external business problems using appropriate practical methods  and are able to give recommendations for action as well as implementation suggestions for concrete case studies. (Obj. 1.1)  They can critically assess interactions such as dependencies and conflicting goals in an international business framework. (Obj. 4.1)  ,                 Students know the relevant management techniques and instruments for problem solving and are able to identify current international business challenges. ,English,,Advanced,,Mandatory,,,Other,,,?Readings from the last modules. ,Review of literature,,Seminar,Simulation,Module Description,,Item
Ethik und Recht,BSc. Wirtschaftsinformatik |,Spring,2022,626,,,,     ?Die Studierenden ...können sich schriftlich und mündlich fachgerecht ausdrücken.schreiben Falllösungen und rechtliche Einschätzungen in verständlicher Sprache und unter Einbezug der juristischen Terminologie. ,WI-000121, Recht:    Grundlagen und Aufbau des RechtsAllgemeines VertragsrechtIT-VerträgeStandardbestimmungen in IT-VerträgenImmaterialgüterrechte und SoftwareschutzDatenschutzrechtDomain-Namen und Aspekte des E-Commerce   Ethik:Moral und EthikMoralische und ethische BegründungenModelle einer normativen EthikMerkmale der InformationsethikInformationsethik im Zentrum der BereichsethikenMerkmale der MaschinenethikEthik und TechnologiefolgenabschätzungAnalyse von Problemgebieten:Demokratisierung und TotalitarismusAutomation und ManipulationVerlust der PrivatsphäreAnonymität und IdentitätMobbing und DenunziationRecht am eigenen BildHuman EnhancementMoralische MaschinenMaschinelles Bewusstsein...,Item,,?Recht: Wirtschaftsinformatiker und Wirtschaftsinformatikerinnen sollen in ihrer betrieblichen Praxis rechtliche Rahmenbedingungen und Grundprobleme in ihrem Berufsfeld erkennen und die juristische Denkweise verstehen. Dies soll sie befähigen  diesbezügliche Entscheide zu fällen und bei Bedarf gezielt juristische Unterstützung beizuziehen.  Ethik: Die Studenten und Studentinnen der Wirtschaftsinformatik sollen Grundbegriffe und Methoden der Ethik und speziell von Informationsethik und Maschinenethik kennenlernen. In eigenen Referaten sollen sie Chancen und Risiken von Informations- und Kommunikationstechnologien  IT- und KI-Systemen sowie Robotern beurteilen.,,5,,,,626_Frühling_2022,,,     ?Die Studierenden ... Bereich Recht und Bereich Ethik: beurteilen einfache juristische Fragestellungen und Fallbeispiele aus ihrem relevanten Berufsumfeld.analysieren ethische Probleme aus verschiedenen Bereichen.entwickeln Lösungen für ethische Probleme.bewerten Handlungen aus moralischer Sicht. ,?Die Studierenden ... Bereich Recht und Bereich Ethik: verstehen die grundlegenden Strukturen und den Aufbau der schweizerischen Rechtsordnung.kennen die wesentliche juristische Terminologie.kennen die Begriffe der Moral und Ethik.kennen ausgewählte Modelle der normativen Ethik.kennen die Merkmale der Informationsethik.kennen die Merkmale der Maschinenethik.kennen die Aspekte der Technologiefolgenabschätzung.lernen ethische Probleme aus verschiedenen Bereichen kennen. ,German,,,Oliver Bendel|#142,,,,,,,     Ethik: Bendel  Oliver (Hrsg.). Soziale Roboter: Technikwissenschaftliche  wirtschaftswissenschaftliche  philosophische  psychologische und soziologische Grundlagen. Springer Gabler  Wiesbaden 2021.   Bendel  Oliver. 300 Keywords Soziale Robotik: Soziale Roboter aus technischer  wirtschaftlicher und ethischer Perspektive. Springer Gabler  Wiesbaden 2021. Bendel  Oliver (Hrsg.). Maschinenliebe. Springer Gabler  Wiesbaden 2020.      Bendel  Oliver (Hrsg.). Handbuch Maschinenethik. Springer VS  Wiesbaden 2019.  Bendel  Oliver. 400 Keywords Informationsethik: Grundwissen aus Computer-  Netz- und Neue-Medien-Ethik sowie Maschinenethik. 2. Aufl. Springer Gabler  Wiesbaden 2019. Bendel  Oliver. 350 Keywords Digitalisierung. Springer Gabler  Wiesbaden 2019. Bendel  Oliver (Hrsg.). Pflegeroboter. Springer Gabler  Wiesbaden 2018. Bendel  Oliver. Die Moral in der Maschine: Beiträge zu Roboter- und Maschinenethik. Heise Medien  Hannover 2016. Kuhlen  Rainer. Informationsethik: Umgang mit Wissen und Informationen in elektronischen Räumen. UVK  Konstanz 2004. Weitere Literatur wird in der Vorlesung angegeben und über Moodle bereitgestellt. Die Veranstaltung wird begleitet von informationsethik.net. Auf der Plattform finden sich Literaturhinweise und Volltexte.,,,,,Modul Beschreibung,,Item
Business Process & Project Management,BSc. Business Administration |,Spring,2021,657,Case study,,Assignment,?The students can… use technical terms correctly (Obj. 3.2) present questions and possible solutions in a structured way (Obj. 3.2) discuss in a professional manner   ,organise and develop,   Business    Processes (70 %)   Definitions  fundamentals  concepts and models of enterprise architecture and business process managementStructured assessment of business processes Standards  guidelines and capability models Modelling of business processes: methods and tools such as BPMN 2.0 Definition and measurement of CSFs (Critical success factors) and KPIs (Key performance indicators) Digitalization of business processes (workflow management software)  Project Management (30 %)   Project management methods Differences between classic and agile project management Project planning and control  work breakdown structure Risk-  quality- and change management Project communication and reporting Goal definition  stakeholder management and context analysis Analysis  description and documentation of requirements Collaboration within projects with the help of digital platforms   ,Item,,?Today  managers must face new technologies and new and emerging business models requiring changes in business processes and company projects. This module teaches students to systematically analyse such processes  to visualize them  and to identify problems emerging in these processes. Students will learn to plan improvements and assess the consequences of suggested improvements. Topics such as process analysis  process improvement and resource planning  as well as methods and instruments of project management will be addressed. ,Discussion,5,- ,Group work,Group work,657_Spring_2021,Individual work,Interactive instruction,The students…  can critically judge findings and propose suitable solutions for practical challenges (Obj. 2.1) recognize and assess the importance and influence of structured change management in business process management and project management  ,The students…  recognize the contribution of business process management and project management to the success of companies explain the basic concepts and models of business process management and recognize their significance within a company explain the basic tools and methods of project management and recognize their significance within a company  ,English,Lecture,Intermediate,Achim Dannecker|#52,Mandatory,,,Other,,,  ,Review of literature,Autumn,Seminar,Simulation,Module Description,written exam,Item
Geschäftsprozess- & Projektmanagement,BSc. Betriebsökonomie |,Spring,2021,551,,Fallstudien,, Die Studierendenwenden fachspezifisches Vokabular korrekt an.präsentieren Fragestellungen und Lösungsvorschläge strukturiert.diskutieren sachlich fundiert und professionell über ausgewählte betriebliche Fragestellungen.dokumentieren die Projektarbeit klar  prägnant und aussagekräftig ,organisieren und entwickeln, Geschäftsprozessmanagement (70 %)Begriffe  Grundlagen  Konzepte und Modelle von Unternehmensar-chitekturen und GeschäftsprozessmanagementStrukturierte Erhebung von Geschäftsprozessen Standards  Richtlinien und ReifegradmodelleModellierung von Geschäftsprozessen: Methoden und Werkzeuge  Beispiel Notationsstandard BPMN 2.0 (Business Process Model and Notation)Bestimmen und Überprüfen von Prozesskennzahlen (KEF und KPI)Digitalisierung von Geschäftsprozessen (Workflow-Management mit Software-Unterstützung) Projektmanagement (30 %)Methoden des ProjektmanagementsKlassische und agile VorgehensmodelleProjektplanung und –steuerung  ProjektstrukturplanRisiko-  Qualitäts- und Change-ManagementProjektführung und Kommunikation  BerichtswesenZielsetzungen  Stakeholdermanagement und KontextanalyseAnforderungen analysieren  beschreiben und dokumentierenKollaboration in Projekten mit Unterstützung durch eine elektronische Plattform ,Item,,Betriebsökonominnen und Betriebsökonomen müssen im globalen Wettbewerb und im Umfeld der fortschreitenden Digitalisierung sicher und kompetent agieren. Sie müssen in der Lage sein  sich neuen Geschäftsmodellen und neuen Technologien zu stellen und dafür Geschäftsprozesse identifizieren  gestalten  umsetzen  steuern und verbessern. Um diesen zunehmend komplexen und schnellen Wandel in Unternehmen effizient in Projekten umsetzen zu können  sind geeignete Methoden und Instrumente des Projektmanagements für die Planung  Überwachung  Koordination und Steuerung notwendig.   In diesem Modul werden die dafür relevanten Kenntnisse und Kompetenzen vermittelt  sodass Betriebsökonominnen und Betriebsökonomen diesen Wandel sicher und kompetent gestalten können. ,,5,ProjektarbeitSupply Chain Management & SustainabilityBachelor Thesis ,,,551_Frühling_2018,,, Die Studierenden können aus der Anwendung des erworbenen Wissens erlangte Erkenntnisse beurteilen und adäquate Lösungen für praktische Fragestellungen vorschlagen.sind sich der Wichtigkeit eines geordneten Change-Managements – in Bezug auf Geschäftsprozess- und Projektmanagements – auf der sachlichen und sozialer Ebene bewusst. , Die Studierendenverstehen den Beitrag von Geschäftsprozessmanagement und Projektmanagement zum Unternehmenserfolg.kennen die Konzepte und Modelle des Geschäftsprozessmanagements und verstehen deren Bedeutung für Organisationen.kennen die Instrumente und Methoden des Projektmanagements und verstehen deren Bedeutung für Organisationen. ,German,,Intermediate,Achim Dannecker|#52,Mandatory,,,,,,,,,,,Modul Beschreibung,,Item
Business Intelligence,MSc. Business Information Systems |,Spring,2022,359,,,Assignment,?be able to design a Balanced Scorecard for a company  including meaningful key performance indicators| be able to use a Balanced Scorecard as a means of communication for goals and measurements.                                        be able to elicit analytical requirements  e.g. based on interviews with business stakeholders                                (Objective 1.1)                                                       be able to discuss ethical and legal issues for BI projects ,,Introduction to Business IntelligenceRequirements for BI systems Business Performance ManagementReporting and dashboardingMultidimensional analysesMultidimensional modeling(Data warehousing)Data Mining: predictive analytics (classification + regression) Big DataIntroduction + architectures Variety: information extraction and text miningVelocity: complex event processing Management of BI: Success factors of BI projectsEthical and legal issues of BI,Item,,?Business Intelligence is concerned with supporting business decisions with facts or  put another way  with helping business actors in turning data into knowledge that helps to make the right decisions. The module looks at different kinds of decisions (and hence requirements)  at different kinds of data and different kinds of tools required to distill knowledge out of data. Students learn to model problems for correct data extraction  design meaningful reports  build predictive models and text mining applications. The main competencies addressed in this course are analytical  problem solving and communication skills. ,Discussion,6,,Group work,Group work,359_Autumn_2021,Individual work,Interactive instruction,?be able to recognise and discuss potential risks of applying business performance management (e.g. consequences of measuring with suboptimal KPIs) be able to judge the potential that predictive analytics techniques have for improving effectiveness and efficiency of decision-making (Objective 3.1) be able to judge and select appropriate Big Data technologies for given business scenarios                         be able to identify ethical and legal issues for BI projects ,?understand why fact-based decision making is usefulbe able to explain what business performance management is and how it can be implemented       understand the whole diversity of requirements of the business towards BI analysis tools                 understand the potential value and application areas of big data technologies (including text mining)  describe their potential to improve/innovate businesses (Objective 3.1)                understand success factors and barriers for projects that introduce BI ,English,Lecture,Advanced,Hans Friedrich Witschel|#78,Mandatory,Online Tutorial,,,,project,?R. Kimball  M. Ross: The Data Warehouse Toolkit  Wiley Computer      Publishing  2013.R. Kimball  M. Ross  W. Thornthwaite  J. Mundy  B. Becker: The Data      Warehouse Lifecycle Toolkit  Wiley Computer Publishing  2008.C. Howson: Successful Business Intelligence: Unlock the Value of BI & Big Data  McGraw Hill  2013.W.H. Inmon: Building the Data Warehouse. Wiley Computer Publishing       2005.B. Marr: Key Performance Indicators – the 75 meaures every manager      needs to know. FT Publishing  2012.P. Tan  M. Steinbach  V. Kumar: Introduction to Data Mining.      Addison Wesley  2005.http://www-users.cs.umn.edu/~kumar/dmbook/index.phpR. Feldman  J. Sanger: The Text Mining Handbook  Cambridge University Press  2007.,,Spring,,,Module Description,written exam,Item
Managing  IT in a Digitized World,MSc. Business Information Systems |,Spring,2022,386,Case study,,Assignment,?Students can ...use models for communication between stakeholders from business and IT within a governance framework (Obj. 3.2) develop communication competencies  especielly by presenting a logical analysis within the assignment  Focus: Medium  ?,, Each lesson embraces a specific topic  which is part of a whole framework. Interdependencies between these topics are pointed out. Thanks to specific case studies or exercises  the complexity of the management tasks when taking decisions and assessing the risks is put into perspective. Lectures cover following areas:IT Management IT ProcessesIT StrategyIT Architecture IT Project Portfolio Management IT Project Management IT Service Management IT Security & Operations Risk and Crisis ManagementKPIs und IT Reporting Lean Framework for IT IT Governance Agile LeadershipLeadership in IT ,Item,,The objective of the module is to give a sound basis of IT management theories and practices. It also describes the main challenges concerning the digital transformation.   The students get knowledge and understanding how to steer and develop the IT organisation in the enterprise in order to meet strategic objectives  to deploy the best tactical approaches and to assure the availability of IT systems at the operational level. The biggest challenge remains the leverage of the IT investments within an agile environment combined with quality and compliance service requirements  which most of the time leads to hybrid solutions.,Discussion,6,,Group work,Group work,386_Spring_2022,Individual work,,   Students can ...apply IT management techniques like project and portfolio management  reporting and KPIs or IT service management in daily situations make investment proposals and design implementation steps to develop his/her own competencies and skills with designing systematic methodical approaches assess risks and give recommendations to top management to develop competencies for problem solving understand and master the management language to develop organisational competencies develop competencies in decision taking by identifying gaps and proposing solutions  Focus: Medium ,?The students understand ...the different basic practices in  IT Management  including agile approaches the way of managing the IT organisation and develop critical thinking competencies how to define an IT strategy and how to implement it how IT Management can suppport the digital transformation of enterprises and to enable cresative thinking to develop competencies to get innovation appetite what is needed to align business and IT in terms of IT Governance how cloud transforms the way IT is managed in the enterpriseshow to create a winning IT organisation thanks to leadership   Focus: High ,English,Lecture,Intermediate,Lionel Pilorget|#898,Elective,,,,,,,,,,,Module Description,written exam,Item
Wirtschaftskommunikation DE/EN 3,BSc. Wirtschaftsinformatik |,Spring,2021,508,Case study,Fallstudien,,Die Studierenden ...sind in der Lage  Verhandlungen zu leitenkönnen relevante Argumente gezielt in Diskussionen einbringen und Verhandlungen unter Berücksichtigung methodischer Überlegungen führen.   Students ... ... understand the value communication adds to efficient problem-solving.... can interact efficiently in diverse groups.  ,Grundlagen,        Argumentieren: Kennzeichen und qualitative Kriterien einer Argumentation (Argumentationsgehalt)       Rhetorische Elemente des Argumentierens: Was wirkt wie und warum? Rhetorische Stilmittel  Rhetorik und Inhalt       Verhandeln: Methodische Elemente unter Einbezug der vier Thesen des Harvard-Modells  integrative und distributive Verhandlungen (Verhandlungsarten)  thesenbezogene Fallbeispiele aus der Praxis  Elemente und Strukturen der Verhandlungsvorbereitung  Verhandlungsrhetorik  Intercultural communicationKey concepts of culture Key skills in professional settingsSmall group communicationFoundations of group communication  the group as a social systemBecoming a group  maintaining a group  group roles and normsCommunicative group behavioursGroup throughput processes such as creativity  group problem-solving,Item,,  Wirtschaftsinformatiker/innen müssen als Projektleitende verhandlungssicher sein. Dies erfordert eine hohe Kompetenz in Bezug auf Verhandlungstechnik  Argumentation und Rhetorik.               Employers are increasingly assessing current staff and future hires on soft-skill competencies around how well they relate to and communicate with others. In a globalized working environment  this demands a high level of intercultural competence and the ability to communicate with the efficiency expected in professional project management and other group settings.    ,Discussion,5,?Praxisprojekt ,,Group work,508_Frühling_2020,,Interactive instruction,Die Studierenden ...    erkennen  aufgrund welcher Kriterien und Umstände eine Verhandlung gelingen kann oder scheitern wird.können manipulative Absichten erkennen und beurteilen und wissen darauf zu reagieren.  Students ... ... recognize the importance of cultural sensitivity in the workplace.... interact effectively and appropriately in crosscultural settings to reach communication goals.... recognize supportive and defensive communication behaviors in small group settings and know how to react to problem behaviors. ,Die Studierenden ...    kennen den Unterschied zwischen induktiven und deduktiven Schlüssen (Argumentieren) und sind in der Lage  die Qualität von Argumenten zu beurteilen. Sie sind mit Strukturformeln vertraut  unter denen Argumente und Statements an Wirkung gewinnen.kennen die methodischen Elemnte einer Verhandlungsführung. Sie sind in der Lage  das Kernproblem bei praktischen Beispielen (Verhandlungssituationen) zu identifizieren.wissen  wie man unter Druck und bei schwierigen oder unfairen Verhandlungspartnern reagieren soll und wie sich Verhandlungschancen und Konfliktlösungen realisieren lassen. Students ...  ... have a basic knowledge of the principal concepts of  intercultural communication....   understand how communication helps a group develop and perform at its best.,German,Lecture,Intermediate,Ruedi Käch|#209|#Claude Wagner|#243,,,,,,,?Roger Fisher  William Ury  Bruce Patton: Das Harvard Konzept. Campus Verlag (2015).William Ury: Nein sagen und trotzdem erfolgreich verhandeln. Campus Verlag (2009).Adams/Galanes (2015). Communicating in groups (9e). New York: McGraw Hill.Meyer  E. (2014). The Culture Map. New York: Public Affairs. ,,,,,Modul Beschreibung,,Item
Foundations of Business Law ,BSc. Business Administration |,Autumn,2021,375,Case study,,Assignment,?- Communicate the answers effectively  both orally and in writing  using legal terminology in an accurate and precise manner (Obj. 3.1| Obj. 3.2) ,understanding environments ,Content - Nature and Structure of Law - Basics of public and constitutional law - Tort law - Contract Law - Methods of Payment / Credit Security - Corporate Law - Employment Law - Intellectual Property Law - Cross-border legal issues - Dispute Resolution,Item,,This module introduces students to the field of business law and gives them an understanding of the legal framework within which business decisions take place. At the end of the module  students are able to identify legal issues related to domestic and international business activities  and to analyze simple legal problems. Furthermore  students can search for and interpret relevant legal documents or materials  and communicate answers to basic legal problems both orally and in writing.  ,Discussion,5, ,Group work,Group work,375_Autumn_2019,Individual work,Interactive instruction,?- Assess and analyze simple legal problems which arise in a business context  provide feasible solutions to those problems (Obj. 2.1) ,?- Explain legal principles relating to private  public and international law  which form the basis of various types of business activities (Obj. 1.1)  - Identify legal problems in a business environment (Obj. 1.1) ,English,Lecture,Basic,,Assessment,Online Tutorial,,,,,?Rouiller  Nicolas (2015). International Business Law  Schulthess Verlag.  Miller & Jentz (2016). Business Law Today – The Essentials. 11 Ed. Cengage Advantage.,Review of literature,Spring,Seminar,,Module Description,written exam,Item
Business Process Management,MSc. Business Information Systems |,Spring,2022,863,Case study,,,   Present solutions to BPM cases in a compelling manner (focus: medium / competence: communication skills),,Strategic alignmentProcess governance Process automation and process mining Process improvementProcess innovation Process and case modelingProcesses and decisionsBPM skills and roles BPM cultureBPM cases ,Item,,?As a holistic approach  business process management (BPM) covers various factors including strategic alignment  governance  lean management  modeling  people  and culture for operating  improving  and innovating business processes. The course introduces fundamental frameworks  models  and methods in BPM and applies them to real-world cases. ,Discussion,6,,Group work,Group work,863_Spring_2022,Individual work,Interactive instruction,Assess options for process improvement and innovation (focus: high / competence: problem solving  innovativeness)  Assess BPM-related decisions in organizations (focus: medium / competence: decision-making capacity)  ,Know the foundations of BPM and understand the relevance of BPM for organizational performance (focus: medium / competence: expertise in BPM  interdisciplinary knowledge)   Know key frameworks  models  and methods of BPM and understand when to apply them (focus: high / competence: expertise in BPM  interdisciplinary knowledge)   ,English,Lecture,Intermediate,Theresa Schmiedel|#813,Mandatory,,,,presentation,,       vom Brocke  J.  & Rosemann  M. (Eds.). (2015). Handbook on business process management. Berlin: Springer.vom Brocke  J.  & Mendling  J. (Eds.). (2018). Business Process Management Cases: Digital Innovation and Business Transformation in Practice. Berlin: Springer.Dumas  M.  La Rosa  M.  Mendling  J.  & Reijners  H. A. (2018). Fundamentals of Business Process Management. Berlin: Springer.Silver  B. (2011). BPMN Method and Style  Second Edition (Second Edi.). Aptos  CA: Cody-Cassidy Press.OMG: CMMN Case Management Model and NotationVon Halle  B.  & Goldberg  L. (2010). The Decision Model: A Business Logic Framework Linking Business and Technology. CRC Press Auerbach Publications.Mary Beth Chrissis et al.: CMMI for Development®: Guidelines for Process Integration and Product Improvement  3rd Edition  Addison-Wesley  2011.Stephan Lunau (Ed.) et al.: Six Sigma + Lean Toolset: Mindset for Successful Implementation of Improvement Projects  2nd Edition  Springer  2013.,,,,,Module Description,written exam,Item
Business Analytics: Quantitative Methods,MSc. Business Information Systems |,Spring,2022,352,,,Assignment,?Students are able to formulate the results of an analysis and to discuss the quality of data  methods and results. They can explain the relevance of an analysis for a business problem. Focus: Medium ,,Statistical methods: Data acquisition  collection and data preparation  in particular survey research methods  and the quality of data are discussed.The concepts of decision making under uncertainty and statistical knowledge formation are introduced. Estimation and Hypotheses testing are reviewed. Statistical data analysis  model building and assessment with linear models (multiple regression) are cetnral to the course. Extensions are  for example  multivariate statistics or time series analysis. Queueing and simulation: An introduction to queuing theory and discrete event simulation is given including thier application to business cases. ,Item,,Business Analytics uses the increasing amount of available  data to gain insight into business problems and propose competitive solutions. Thus the module deals with the use of quantitative methods to support managerial work. Evidence based management must take into account the quality of data and the uncertainty in results and predictions. Students acquire knowledge and skills in statistical data collection and procurement  data preparation  analysis  modelling   prediction and simulation.  The methods come from probability  simulation  exploratory and inferential statistics including multiple regression. The application areas range from supply to operations  marketing  strategy and competitiveness analysis.   Students carry out hands-on exercises with up-to-date software and with business data.,Discussion,6,?Practice-oriented Project  Business Intelligence  Optimisation for Business Improvement  Master Thesis.,Group work,Group work,352_Spring_2022,Individual work,Interactive instruction,?Students can interpret and critically evaluate the results of an analysis in their business context. They take into account quality and  in particular  uncertainty and assess conditions and limitations. Focus: High ,?Students understand the properties and the quality of data for statistical analysis. They know measurement levels and understand which methods are appropriate for them. They understand the concept and importance of random sampling and random assignment for trials. They understand uncertainty and know how to discuss it. Focus: Medium ,English,Lecture,Intermediate,Fabian Heimsch|#203,Elective,,,,,,?Sharpe  N. R.  De Veaux  R.D.  Velleman  P.F. (2014) Business Statistics (3ed.) Pearson  Global Edition  ISBN 9781292058696 (ebook ISBN 9781292058719),,,,Simulation,Module Description,,Item
BSwiss - Swiss international Business Summer School,BSc. Betriebsökonomie |BSc. Business Administration |BSc. Wirtschaftsinformatik |BSc. Business Information Technology |BSc. International Business Management |MSc. International Management |,Spring,2020,852,,,Assignment,Students foster internal collaboration and communication by working in intercultural teams.?,Swissness in Action - Innovation and Competitiveness in Business,?Why nations failThe Nation and the World EconomyMeasures of Competitiveness by the World Economic ForumProcess and Business Model InnovationProduct InnovationProduct InnovationImmigration and GlobalizationBuilding blocks of International ImmigrationThanks to applied learning with examples and small cases  excursions and group work the students can foster their analytical  communicative as well as their creative and intercultural skills.,Item,,          A complex phenomenon such as the international competitiveness of a country is based on several and closely interwoven factors such as factor endowment  integrative institutions  geographical location  capacity for innovation  etc. The factors that influence the competitiveness of a country are the following: inclusive institutions  infrastructure and population. Moreover  a single country has both competitive and less competitive industries and enterprises. This makes it difficult to present and explain a country's international competitiveness using a model. However  a case study of a successful country like Switzerland is an ideal way to explain and deepen this complex and multi-faceted phenomenon. For Switzerland's short-term success innovation is key  but to be competitive in the long run not only open markets but also open borders for immigration are key  therefore the third theme covers the economics of immigration.  ,Discussion,5,,Group work,Group work,852_Spring_2020,Individual work,Interactive instruction,?Students learn from world class institutions like Novartis  the Federal IPR-Institute and the Federal Economic Department. They can hone their ideas with university lecturers. Every student is able to reflect into one's own world view. Group presentations have to stand the test of the experts.,?Every student has the necessary knowledge about models and methods in the fields of competitiveness  innovation and immigration  e.g. basic economic building blocks of economic immigration. Every student shows interest and curiosity for other cultures.,English,,Advanced,Erich Bürkler|#97,Elective,,,,,,The WEF (2019). The Global Competitiveness Report: https://www.weforum.org/reports/theglobal- competitiveness-report-2017-2018 Introduction and Chapter about Switzerland,Review of literature,,,,Module Description,,Item
